x_coordinate,y_coordinate,Cell_Type,TCN_Label
-2979.043681,3529.882938,049 Lamp5 Gaba,1
-2971.836425,3453.417328,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2971.365765,3492.712399,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2970.089714,3555.107842,196 PAG-PPN Pax5 Sox21 Gaba,1
-2969.405432,3478.899773,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2966.73883,3573.57959,199 PAG-MRN-RN Foxa2 Gaba,1
-2956.284887,3437.937878,173 PAG Pou4f2 Glut,1
-2942.557256,3600.703083,049 Lamp5 Gaba,1
-2938.950004,3512.590712,199 PAG-MRN-RN Foxa2 Gaba,1
-2935.265535,3538.639063,049 Lamp5 Gaba,1
-2935.816291,3432.160161,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2935.961497,3460.577893,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2926.261002,3591.635334,199 PAG-MRN-RN Foxa2 Gaba,1
-2926.774248,3468.158655,073 MEA-BST Sox6 Gaba,1
-2924.360229,3601.857167,173 PAG Pou4f2 Glut,1
-2916.580302,3549.700718,049 Lamp5 Gaba,1
-2916.618092,3496.365278,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2912.495622,3563.406106,199 PAG-MRN-RN Foxa2 Gaba,1
-2911.840434,3504.088303,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2909.967295,3554.155176,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2897.526055,3605.658487,073 MEA-BST Sox6 Gaba,1
-2895.100013,3443.780905,049 Lamp5 Gaba,1
-2891.371075,3513.218422,199 PAG-MRN-RN Foxa2 Gaba,1
-2880.573975,3453.91202,073 MEA-BST Sox6 Gaba,1
-2863.365352,3606.889879,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2863.897887,3589.107725,128 VMH Fezf1 Glut,1
-2860.581062,3482.862896,106 PVpo-VMPO-MPN Hmx2 Gaba,1
-2855.042965,3499.476179,049 Lamp5 Gaba,1
-2850.612966,3488.081234,073 MEA-BST Sox6 Gaba,1
-2847.810296,3443.206007,073 MEA-BST Sox6 Gaba,1
-2844.155507,3543.188531,073 MEA-BST Sox6 Gaba,1
-3023.704331,3565.913928,199 PAG-MRN-RN Foxa2 Gaba,1
-3009.436912,3481.503748,199 PAG-MRN-RN Foxa2 Gaba,1
